xcen,ycen,sxx,syy,sxy                                                     
2.5000E+000,2.4500E+001,-8.6625E+006,-2.6544E+007,-5.0094E+004           
2.5000E+000,2.5500E+001,-8.6626E+006,-2.6527E+007,-5.4652E+004           
2.5000E+000,2.6500E+001,-8.6631E+006,-2.6509E+007,-5.8094E+004           
2.5000E+000,2.7500E+001,-8.6628E+006,-2.6489E+007,-6.2132E+004           
2.5000E+000,2.8500E+001,-8.6643E+006,-2.6468E+007,-6.6392E+004           
2.5000E+000,2.9500E+001,-8.6657E+006,-2.6446E+007,-6.9652E+004           
2.5000E+000,3.0500E+001,-8.6659E+006,-2.6422E+007,-7.3126E+004           
2.5000E+000,3.1500E+001,-8.6659E+006,-2.6397E+007,-7.6059E+004           
2.5000E+000,3.2500E+001,-8.6659E+006,-2.6371E+007,-7.8491E+004           
2.5000E+000,3.3500E+001,-8.6662E+006,-2.6344E+007,-8.1177E+004           
2.5000E+000,3.4500E+001,-8.6666E+006,-2.6317E+007,-8.3075E+004           
2.5000E+000,3.5500E+001,-8.6675E+006,-2.6289E+007,-8.3249E+004           
2.5000E+000,3.6500E+001,-8.6687E+006,-2.6261E+007,-8.2901E+004           
2.5000E+000,3.7500E+001,-8.6700E+006,-2.6234E+007,-8.2957E+004           
2.5000E+000,3.8500E+001,-8.6712E+006,-2.6207E+007,-8.2243E+004           
2.5000E+000,3.9500E+001,-8.6710E+006,-2.6178E+007,-8.2724E+004           
2.5000E+000,4.0500E+001,-8.6721E+006,-2.6152E+007,-7.9248E+004           
2.5000E+000,4.1500E+001,-8.6731E+006,-2.6126E+007,-7.6724E+004           
2.5000E+000,4.2500E+001,-8.6754E+006,-2.6101E+007,-7.2993E+004           
2.5000E+000,4.3500E+001,-8.6770E+006,-2.6078E+007,-6.8020E+004           
2.5000E+000,4.4500E+001,-8.6779E+006,-2.6056E+007,-6.1871E+004           
2.5000E+000,4.5500E+001,-8.6782E+006,-2.6036E+007,-5.5372E+004           
2.5000E+000,4.6500E+001,-8.6789E+006,-2.6018E+007,-5.0394E+004           
2.5000E+000,4.7500E+001,-8.6796E+006,-2.6003E+007,-4.4284E+004           
2.5000E+000,4.8500E+001,-8.6794E+006,-2.5990E+007,-3.6613E+004           
2.5000E+000,4.9500E+001,-8.6787E+006,-2.5978E+007,-3.0336E+004           
2.5000E+000,5.0500E+001,-8.6777E+006,-2.5967E+007,-2.2942E+004           
2.5000E+000,5.1500E+001,-8.6783E+006,-2.5962E+007,-1.6161E+004           
2.5000E+000,5.2500E+001,-8.6779E+006,-2.5958E+007,-9.2694E+003           
2.5000E+000,5.3500E+001,-8.6774E+006,-2.5955E+007,-3.1124E+003           
2.5000E+000,5.4500E+001,-8.6767E+006,-2.5954E+007,3.1036E+003            
2.5000E+000,5.5500E+001,-8.6755E+006,-2.5956E+007,8.6968E+003            
2.5000E+000,5.6500E+001,-8.6743E+006,-2.5959E+007,1.3954E+004            
2.5000E+000,5.7500E+001,-8.6734E+006,-2.5965E+007,1.8492E+004            
2.5000E+000,5.8500E+001,-8.6724E+006,-2.5971E+007,2.2198E+004            
2.5000E+000,5.9500E+001,-8.6715E+006,-2.5979E+007,2.5689E+004            
2.5000E+000,6.0500E+001,-8.6715E+006,-2.5988E+007,2.8140E+004            
2.5000E+000,6.1500E+001,-8.6714E+006,-2.5996E+007,2.9264E+004            
2.5000E+000,6.2500E+001,-8.6705E+006,-2.6006E+007,2.9614E+004            
2.5000E+000,6.3500E+001,-8.6692E+006,-2.6014E+007,2.9644E+004            
2.5000E+000,6.4500E+001,-8.6686E+006,-2.6025E+007,2.9199E+004            
2.5000E+000,6.5500E+001,-8.6681E+006,-2.6035E+007,2.8080E+004            
2.5000E+000,6.6500E+001,-8.6669E+006,-2.6043E+007,2.6911E+004            
2.5000E+000,6.7500E+001,-8.6656E+006,-2.6051E+007,2.4998E+004            
2.5000E+000,6.8500E+001,-8.6655E+006,-2.6059E+007,2.2903E+004            
2.5000E+000,6.9500E+001,-8.6652E+006,-2.6066E+007,2.0973E+004            
2.5000E+000,7.0500E+001,-8.6650E+006,-2.6074E+007,1.7068E+004            
2.5000E+000,7.1500E+001,-8.6648E+006,-2.6080E+007,1.3159E+004            
2.5000E+000,7.2500E+001,-8.6643E+006,-2.6083E+007,1.0464E+004            
2.5000E+000,7.3500E+001,-8.6646E+006,-2.6085E+007,7.0843E+003            
2.5000E+000,7.4500E+001,-8.6637E+006,-2.6085E+007,3.4815E+003            
2.5000E+000,7.5500E+001,-8.6631E+006,-2.6085E+007,-3.8134E+002           
